id,State,Blockname,TreatYear,Treatment,Dosage,DistanceKm,Acres,T,T1,T2,T3,T4,C,C1,C2,C3,C4
73,OH,East Liberty C NPV,2010,NPV-MD,5x10^11,76.3,374,0.98,1,0.98,0.99,1,0.55,0.08,0.42,0.30,0
74,OH,East Liberty D NPV,2010,NPV-MD,5x10^11,74.8,146,0.98,1,0.98,0.98,0.41,0.08,0,0.08,0.08,2.78
75,OH,East Liberty MD,2010,MD,6g,73.2,28000,0.95,0.94,0.85,0.81,0.14,0.19,0.22,0.59,0.76,4.40
76,OH,Five Points A BTK,2010,Btk,24BIUx2,90.1,48,-3.38,0.73,1,1,1,143.60,8.98,0,0,0
77,OH,Five Points B BTK,2010,Btk,24BIUx2,90.7,4,-2.63,0.37,1,1,1,159.51,27.58,0,0,0
78,OH,Gallia MD,2010,MD,15g,105.7,230,1,1,1,1,1,0.11,0,0,0.92,0
79,OH,Galloway MD,2010,MD,15g,70.2,6486,0.83,1,0.99,0.91,0.84,0.61,0.02,0.03,0.33,0.57
80,OH,Grover Hill A MD,2010,MD,6g,22,983,0.68,0.99,0.59,-0.17,-1.29,0.40,0.01,0.51,1.46,2.86
81,OH,Grover Hill B MD,2010,MD,6g,23.7,640,0.61,1,0.86,0.36,0.18,0.67,0,0.24,1.11,1.42
82,OH,Harrisburg BTK,2010,Btk,24BIUx2,74.3,321,0.97,0.99,1,0.98,0.97,0.43,0.11,0,0.21,0.33
83,OH,Kalida A BTK,2010,Btk,24BIUx2,43.1,23,1,1,1,0.95,0.88,0,0,0,0.74,1.82
84,OH,Kalida B BTK,2010,Btk,24BIUx2,43.4,38,1,0.97,1,0.80,0.79,0,0.18,0,0.78,0.82
85,OH,Kettering BTK,2010,Btk,24BIUx2,156.8,1271,0.97,1,1,0.98,0.96,3.67,0,0,1.82,32.60
86,OH,Lima A BTK,2010,Btk,24BIUx2,57.1,319,0.99,0.86,1,0.96,0.42,0.11,1.88,0,0.48,6.88
87,OH,Lima B BTK,2010,Btk,24BIUx2,58.5,163,0.87,0.91,1,0.96,-0.15,0.83,0.65,0,0.27,7.52
88,OH,Mineral MD A,2010,MD,6g,95.3,16725,0.92,0.90,0.83,0.52,0.21,0.20,0.24,0.41,1.19,1.95
